family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
clean,clean,clean,500,0.412,0.664758232563734,0.0
native_cure_or,native_challenge_type_02,level_1,500,0.418,0.6631016190946102,-0.006000000000000005
native_cure_or,native_challenge_type_02,level_2,500,0.406,0.6631956787407398,0.00599999999999995
native_cure_or,native_challenge_type_02,level_3,500,0.404,0.6575990636944771,0.007999999999999952
native_cure_or,native_challenge_type_02,level_4,500,0.394,0.6725818443596363,0.01799999999999996
native_cure_or,native_challenge_type_05,level_1,500,0.196,0.5317016711831093,0.21599999999999997
native_cure_or,native_challenge_type_05,level_2,500,0.076,0.4352292226701975,0.33599999999999997
native_cure_or,native_challenge_type_05,level_3,500,0.036,0.34168025995790957,0.376
native_cure_or,native_challenge_type_05,level_4,500,0.022,0.3428997164517641,0.38999999999999996
native_cure_or,native_challenge_type_05,level_5,500,0.014,0.38856805564463137,0.39799999999999996
native_cure_or,native_challenge_type_09,level_1,500,0.242,0.5350307662785053,0.16999999999999998
native_cure_or,native_challenge_type_09,level_2,500,0.16,0.4603243858218193,0.252
native_cure_or,native_challenge_type_09,level_3,500,0.068,0.37810457538068293,0.344
native_cure_or,native_challenge_type_09,level_4,500,0.03,0.34773048290610314,0.382
native_cure_or,native_challenge_type_09,level_5,500,0.014,0.3431661440730095,0.39799999999999996
native_cure_or,native_challenge_type_14,level_1,500,0.082,0.5522860420048237,0.32999999999999996
native_cure_or,native_challenge_type_14,level_2,500,0.02,0.507532521545887,0.39199999999999996
native_cure_or,native_challenge_type_14,level_3,500,0.012,0.47242763349413874,0.39999999999999997
native_cure_or,native_challenge_type_14,level_4,500,0.01,0.4356141793131828,0.40199999999999997
native_cure_or,native_challenge_type_14,level_5,500,0.01,0.47190400791168213,0.40199999999999997
native_cure_or,native_challenge_type_18,level_1,500,0.098,0.5027183673381805,0.31399999999999995
native_cure_or,native_challenge_type_18,level_2,500,0.034,0.45326070922613143,0.378
native_cure_or,native_challenge_type_18,level_3,500,0.018,0.5081958196759224,0.39399999999999996
native_cure_or,native_challenge_type_18,level_4,500,0.01,0.6336260677576065,0.40199999999999997
native_cure_or,native_challenge_type_18,level_5,500,0.008,0.43401184254884717,0.40399999999999997
